1,1,2,.,1,2,4,.,1,4,0,.,2,1,0,_,1,9,.,1,9,.,1,9,.,2,.,o,u,t,.,a,v,e,r,a,g,e
112.124.140.210_19.19.19.2.out.average,1.000000,very-strong
115.124.75.126_19.19.19.24.out.average,0.159827,very-weak
123.255.202.74_19.19.19.23.out.average,0.099920,very-weak
129.69.8.112_19.19.19.14.out.average,0.450358,moderate
130.225.254.116_19.19.19.6.out.average,0.905483,very-strong
134.157.176.20_19.19.19.10.out.average,0.146201,very-weak
137.189.4.14_19.19.19.18.out.average,0.233596,weak
137.226.34.46_19.19.19.12.out.average,0.322717,weak
141.76.1.200_19.19.19.15.out.average,0.624543,strong
147.102.222.211_19.19.19.17.out.average,0.533999,moderate
147.229.3.144_19.19.19.3.out.average,0.368189,weak
147.52.159.12_19.19.19.16.out.average,0.369661,weak
148.6.0.24_19.19.19.19.out.average,0.195788,weak
193.1.193.64_19.19.19.25.out.average,0.495729,moderate
193.166.3.5_19.19.19.7.out.average,0.664727,strong
193.190.67.98_19.19.19.1.out.average,0.663852,strong
193.50.27.70_19.19.19.9.out.average,0.374998,weak
193.6.176.62_19.19.19.20.out.average,0.469821,moderate
194.158.119.190_19.19.19.8.out.average,0.564643,moderate
194.19.194.51_19.19.19.5.out.average,0.683669,strong
195.228.252.133_19.19.19.21.out.average,0.184961,very-weak
202.3.245.121_19.19.19.11.out.average,0.416241,moderate
212.201.68.60_19.19.19.13.out.average,0.529721,moderate
212.30.230.86_19.19.19.22.out.average,0.506018,moderate
46.30.211.12_19.19.19.4.out.average,0.797427,very-strong
1,1,5,.,1,2,4,.,7,5,.,1,2,6,_,1,9,.,1,9,.,1,9,.,2,4,.,o,u,t,.,a,v,e,r,a,g,e
112.124.140.210_19.19.19.2.out.average,0.159827,very-weak
115.124.75.126_19.19.19.24.out.average,1.000000,very-strong
123.255.202.74_19.19.19.23.out.average,0.104604,very-weak
129.69.8.112_19.19.19.14.out.average,0.162008,very-weak
130.225.254.116_19.19.19.6.out.average,0.187930,very-weak
134.157.176.20_19.19.19.10.out.average,-0.051636,very-weak
137.189.4.14_19.19.19.18.out.average,-0.023460,very-weak
137.226.34.46_19.19.19.12.out.average,0.058570,very-weak
141.76.1.200_19.19.19.15.out.average,0.071529,very-weak
147.102.222.211_19.19.19.17.out.average,0.116779,very-weak
147.229.3.144_19.19.19.3.out.average,0.071991,very-weak
147.52.159.12_19.19.19.16.out.average,0.143725,very-weak
148.6.0.24_19.19.19.19.out.average,0.102320,very-weak
193.1.193.64_19.19.19.25.out.average,0.058966,very-weak
193.166.3.5_19.19.19.7.out.average,0.324116,weak
193.190.67.98_19.19.19.1.out.average,0.234832,weak
193.50.27.70_19.19.19.9.out.average,0.011727,very-weak
193.6.176.62_19.19.19.20.out.average,0.031509,very-weak
194.158.119.190_19.19.19.8.out.average,0.199566,weak
194.19.194.51_19.19.19.5.out.average,0.176825,very-weak
195.228.252.133_19.19.19.21.out.average,0.024252,very-weak
202.3.245.121_19.19.19.11.out.average,0.028016,very-weak
212.201.68.60_19.19.19.13.out.average,0.108848,very-weak
212.30.230.86_19.19.19.22.out.average,0.135690,very-weak
46.30.211.12_19.19.19.4.out.average,0.223710,weak
1,2,3,.,2,5,5,.,2,0,2,.,7,4,_,1,9,.,1,9,.,1,9,.,2,3,.,o,u,t,.,a,v,e,r,a,g,e
112.124.140.210_19.19.19.2.out.average,0.099941,very-weak
115.124.75.126_19.19.19.24.out.average,0.104598,very-weak
123.255.202.74_19.19.19.23.out.average,0.999993,very-strong
129.69.8.112_19.19.19.14.out.average,0.045493,very-weak
130.225.254.116_19.19.19.6.out.average,0.167942,very-weak
134.157.176.20_19.19.19.10.out.average,0.112522,very-weak
137.189.4.14_19.19.19.18.out.average,0.027745,very-weak
137.226.34.46_19.19.19.12.out.average,-0.049931,very-weak
141.76.1.200_19.19.19.15.out.average,0.079794,very-weak
147.102.222.211_19.19.19.17.out.average,0.135350,very-weak
147.229.3.144_19.19.19.3.out.average,0.088923,very-weak
147.52.159.12_19.19.19.16.out.average,0.000972,very-weak
148.6.0.24_19.19.19.19.out.average,0.025043,very-weak
193.1.193.64_19.19.19.25.out.average,0.026290,very-weak
193.166.3.5_19.19.19.7.out.average,0.237319,weak
193.190.67.98_19.19.19.1.out.average,0.148257,very-weak
193.50.27.70_19.19.19.9.out.average,-0.005844,very-weak
193.6.176.62_19.19.19.20.out.average,0.195166,weak
194.158.119.190_19.19.19.8.out.average,0.050514,very-weak
194.19.194.51_19.19.19.5.out.average,0.166914,very-weak
195.228.252.133_19.19.19.21.out.average,0.133106,very-weak
202.3.245.121_19.19.19.11.out.average,0.113001,very-weak
212.201.68.60_19.19.19.13.out.average,0.201215,weak
212.30.230.86_19.19.19.22.out.average,0.205146,weak
46.30.211.12_19.19.19.4.out.average,0.149858,very-weak
1,2,9,.,6,9,.,8,.,1,1,2,_,1,9,.,1,9,.,1,9,.,1,4,.,o,u,t,.,a,v,e,r,a,g,e
112.124.140.210_19.19.19.2.out.average,0.450358,moderate
115.124.75.126_19.19.19.24.out.average,0.162008,very-weak
123.255.202.74_19.19.19.23.out.average,0.045659,very-weak
129.69.8.112_19.19.19.14.out.average,1.000000,very-strong
130.225.254.116_19.19.19.6.out.average,0.465258,moderate
134.157.176.20_19.19.19.10.out.average,0.175266,very-weak
137.189.4.14_19.19.19.18.out.average,0.277710,weak
137.226.34.46_19.19.19.12.out.average,0.186728,very-weak
141.76.1.200_19.19.19.15.out.average,0.351983,weak
147.102.222.211_19.19.19.17.out.average,0.382322,weak
147.229.3.144_19.19.19.3.out.average,0.400580,moderate
147.52.159.12_19.19.19.16.out.average,0.340319,weak
148.6.0.24_19.19.19.19.out.average,0.190093,weak
193.1.193.64_19.19.19.25.out.average,0.286471,weak
193.166.3.5_19.19.19.7.out.average,0.554990,moderate
193.190.67.98_19.19.19.1.out.average,0.509299,moderate
193.50.27.70_19.19.19.9.out.average,0.396861,moderate
193.6.176.62_19.19.19.20.out.average,0.415060,moderate
194.158.119.190_19.19.19.8.out.average,0.447642,moderate
194.19.194.51_19.19.19.5.out.average,0.449764,moderate
195.228.252.133_19.19.19.21.out.average,0.218546,weak
202.3.245.121_19.19.19.11.out.average,0.428880,moderate
212.201.68.60_19.19.19.13.out.average,0.459521,moderate
212.30.230.86_19.19.19.22.out.average,0.389711,weak
46.30.211.12_19.19.19.4.out.average,0.394121,moderate
1,3,0,.,2,2,5,.,2,5,4,.,1,1,6,_,1,9,.,1,9,.,1,9,.,6,.,o,u,t,.,a,v,e,r,a,g,e
112.124.140.210_19.19.19.2.out.average,0.905230,very-strong
115.124.75.126_19.19.19.24.out.average,0.187912,very-weak
123.255.202.74_19.19.19.23.out.average,0.168043,very-weak
129.69.8.112_19.19.19.14.out.average,0.464810,moderate
130.225.254.116_19.19.19.6.out.average,0.999990,very-strong
134.157.176.20_19.19.19.10.out.average,0.221422,weak
137.189.4.14_19.19.19.18.out.average,0.326943,weak
137.226.34.46_19.19.19.12.out.average,0.360608,weak
141.76.1.200_19.19.19.15.out.average,0.610633,strong
147.102.222.211_19.19.19.17.out.average,0.624082,strong
147.229.3.144_19.19.19.3.out.average,0.446472,moderate
147.52.159.12_19.19.19.16.out.average,0.422679,moderate
148.6.0.24_19.19.19.19.out.average,0.196628,weak
193.1.193.64_19.19.19.25.out.average,0.519578,moderate
193.166.3.5_19.19.19.7.out.average,0.734551,strong
193.190.67.98_19.19.19.1.out.average,0.700743,strong
193.50.27.70_19.19.19.9.out.average,0.452712,moderate
193.6.176.62_19.19.19.20.out.average,0.554042,moderate
194.158.119.190_19.19.19.8.out.average,0.634370,strong
194.19.194.51_19.19.19.5.out.average,0.745340,strong
195.228.252.133_19.19.19.21.out.average,0.221054,weak
202.3.245.121_19.19.19.11.out.average,0.458688,moderate
212.201.68.60_19.19.19.13.out.average,0.573314,moderate
212.30.230.86_19.19.19.22.out.average,0.564640,moderate
46.30.211.12_19.19.19.4.out.average,0.839312,very-strong
1,3,4,.,1,5,7,.,1,7,6,.,2,0,_,1,9,.,1,9,.,1,9,.,1,0,.,o,u,t,.,a,v,e,r,a,g,e
112.124.140.210_19.19.19.2.out.average,0.146201,very-weak
115.124.75.126_19.19.19.24.out.average,-0.051636,very-weak
123.255.202.74_19.19.19.23.out.average,0.112654,very-weak
